Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent
crm para vendas,260,32,"4,01","0,66",11300000,"Informational, Commercial"
plataformas crm,260,36,"1,48","0,54",6970000,Commercial
crm plataforma,260,41,"1,53","0,48",19500000,"Informational, Commercial"
plataformas de crm,260,42,"2,02","0,56",7340000,"Informational, Commercial"
crm ferramenta,260,47,"1,32","0,36",9480000,"Informational, Commercial"
sistema cmr,170,42,"1,14","0,45",41000000,"Informational, Commercial"
crm programa,260,40,"1,34","0,46",24800000,"Informational, Commercial"
melhor crm,260,32,"2,48","0,76",21200000,Commercial
sistema crm gratuito,260,30,"2,67","0,76",7100000,Commercial
melhor crm do mercado,210,31,"3,22","0,81",12100000,Commercial
crm vendas gratuito,210,34,"2,86","0,74",1250000,Commercial
crm free,210,36,"2,66","0,67",448000000,Commercial
crm gratuito para vendas,210,34,3,"0,82",455000,Commercial
crm rd station login,210,37,"0,95","0,13",83,"Informational, Transactional"
crm rdstation,210,40,"1,49","0,44",89,"Navigational, Transactional"
crm station,210,25,"0,75","0,38",24300000,Commercial
melhor crm de vendas,170,32,"2,47","0,69",8830000,Commercial
softwares crm,170,33,"1,56","0,5",6970000,"Informational, Commercial"
melhores crms,170,32,"2,88","0,75",64700,Commercial
crm de vendas gratuito,170,33,"2,95","0,8",394000,Commercial
crm grátis,170,35,"4,33","0,85",10600000,Commercial
crm para pequenas empresas,170,22,"2,96","0,61",2780000,Commercial
melhor crm gratuito,170,33,"2,47","0,78",5240000,Commercial
service crm,170,36,"0,7","0,18",389000000,"Informational, Commercial"
services crm,170,40,"0,7","0,18",366000000,Commercial
softwares de crm,140,32,"1,62","0,53",5570000,Commercial
bitrix24 gratuito,110,20,"1,85","0,5",82,"Navigational, Transactional"
capterra ganhar dinheiro,140,17,"0,08","0,55",32,Transactional
crm programas,140,39,"1,34","0,46",27900000,"Informational, Commercial"
sistema crm exemplos,140,32,"0,43","0,39",23800000,"Informational, Commercial"
crm barato,140,25,"2,68","0,82",9810000,Commercial
crm gratuito vendas,140,28,"3,63","0,86",558000,Commercial
exemplo de crm,140,29,"0,46","0,22",12000000,"Informational, Commercial"
crm saas,140,28,"1,77","0,64",35200000,"Informational, Commercial"
crmzoho,140,41,"1,88","0,32",54,"Navigational, Transactional"
software crm gratuito,140,31,"2,23","0,51",435000000,Commercial
crm ferramentas,110,34,"1,32","0,36",9880000,"Informational, Commercial"
crms online,110,32,"2,19","0,52",332000000,Commercial
experiência em crm,110,32,"0,17","0,35",16900000,"Informational, Commercial"
crm atendimento ao cliente,110,21,"1,6","0,52",6540000,"Informational, Commercial"
melhores crm gratuitos,110,32,"2,47","0,78",274000,Commercial
os sistemas de crm geralmente são pacotes de software,110,15,0,"0,01",28,"Informational, Commercial"
bitrix crm,110,33,"1,78","0,38",99,"Navigational, Transactional"
crm b2b,110,15,"2,47","0,69",38000000,Commercial
crm engenharia,110,20,"0,65","0,18",9490000,Commercial
crm gratuito online,110,32,"4,17","0,66",7540000,Commercial
crm systems,110,85,"1,71","0,39",139000000,"Informational, Commercial"
crm sistema de vendas,90,36,"2,08","0,59",4760000,"Informational, Commercial"
empresas de crm,90,26,"1,77","0,7",25300000,Commercial
crm empresarial,90,43,"1,93","0,56",10800000,"Informational, Commercial"
melhores crm de vendas,90,31,"2,47","0,69",4970000,Commercial
programas de crm,90,33,"2,03","0,28",17000000,"Informational, Commercial"
customer relationship management software,70,85,"1,74","0,6",255000000,Commercial
define the relationships pt br,170,12,0,0,64,Commercial
crm empresas,90,32,"1,97","0,6",27400000,Commercial
extensão rd station,110,31,"0,38","0,02",167000,Commercial
login pipedrive,1300,45,"4,33","0,09",574000,"Navigational, Transactional"
logo pipedrive,90,33,"4,99","0,04",6030000,"Informational, Transactional"
aplicativo crm,90,36,"1,82","0,45",4350000,Commercial
os clientes,170,39,0,0,347000000,"Informational, Commercial"
pipe drive entrar,110,42,"3,32","0,13",56900,"Navigational, Transactional"
pipedrive consulting,90,44,0,"0,03",339000,"Navigational, Transactional"
pipedrive entrar,590,44,"3,32","0,13",65900,"Navigational, Transactional"
pipedrive marketing,210,36,"2,5","0,04",2510000,"Navigational, Transactional"
pipedrive planos,90,24,2,"0,4",27600,"Informational, Transactional"
pipedrive professional,390,46,0,"0,02",685000,"Navigational, Transactional"
pipeline pipedrive,170,33,"3,6","0,02",606000,"Navigational, Transactional"
planos pipedrive,90,28,"2,85","0,33",33600,"Navigational, Transactional"
empresa crm,90,46,"1,05","0,47",25200000,Commercial
crm gratuito 2022,90,25,0,0,390000000,Commercial
rd marketing login,110,29,"0,04","0,02",189000000,"Navigational, Transactional"
ferramenta crm gratuita,90,34,"2,75","0,75",277000,"Informational, Commercial"
crm para representante comercial,90,8,"2,86","0,75",3600000,Commercial
b2b crm,90,19,"2,49","0,55",33800000,Commercial
crm bitrix24,90,28,"1,91","0,44",100,"Navigational, Transactional"
rd station entrar,110,39,"0,36","0,04",3710000,"Navigational, Transactional"
rdcrm,260,19,"2,03","0,42",78,Commercial
crm online gratis,90,30,"3,9","0,22",99,Commercial
rdstation.com.br,140,56,"0,4","0,14",4160000,"Informational, Transactional"
crm web,90,13,"1,02","0,53",327000000,Commercial
estratégias de crm,90,25,"0,59","0,26",9920000,"Informational, Commercial"
sistema para assistencia tecnica de celular,320,64,"1,02","0,89",15,"Informational, Commercial"
plug crm,90,25,"1,06","0,29",15800000,Commercial
software de vendas,320,23,"1,84","0,83",32700000,Commercial
software para vendas,390,25,"1,54","0,47",79800000,Commercial
station,3600,29,0,0,7620000000,Commercial
rd station crm gratuito,90,37,"1,4","0,53",18700000,"Navigational, Transactional"
rd station crm.,90,25,"0,83","0,32",12700000,Transactional
zoho entrar,210,64,"0,12","0,01",76,"Navigational, Transactional"
zoro crm,90,29,"1,88","0,32",61,"Navigational, Transactional"
vender milhas,49500,58,"0,2","0,38",1810000,Commercial
casa a venda,22200,44,"0,09","0,48",91,Commercial
contrato de compra e venda,22200,22,"0,06","0,37",355000000,"Informational, Transactional"
motorhome a venda,22200,23,"0,02","0,33",95,Commercial
apartamento a venda,18100,50,"0,29","0,6",75,Commercial
casas a venda,18100,44,"0,09","0,48",71,Commercial
carros a venda,14800,74,"0,09","0,52",67,Commercial
remédio para emagrecer rápido vendido em farmácia,14800,34,"0,09",1,25700,Commercial
fusca a venda,12100,24,"0,03","0,22",89,Commercial
venda de carros,12100,66,"0,33","0,46",280000000,Commercial
container a venda,9900,24,"0,11","0,86",12600000,"Informational, Transactional"
kombi a venda,9900,29,"0,03","0,28",84,Commercial
trailer a venda,9900,35,"0,03","0,24",93,Commercial
venda de milhas,9900,53,"0,19","0,4",3200000,"Informational, Commercial"
compra agora venda assistida,8100,20,"21,38","0,14",2580000,"Navigational, Transactional"
containers a venda,8100,21,"0,11","0,86",6170000,"Navigational, Transactional"
dólar turismo hoje venda,8100,64,"0,13","0,1",3970000,"Informational, Transactional"
lancha a venda,8100,16,"0,05","0,73",96,"Informational, Transactional"
placa de vende-se,8100,28,"0,11",1,66800000,"Informational, Transactional"
remedio para emagrecer rapido vendido em farmacia,8100,34,"0,09",1,241000,Commercial
sesc venda nova,8100,21,"0,06","0,05",2740000,Commercial
terreno a venda,8100,37,"0,15","0,43",51600000,Commercial
terrenos a venda,8100,36,"0,15","0,45",63,Commercial
vender milhas smiles,8100,50,"0,22","0,47",87,"Informational, Commercial"
apartamento a venda em curitiba,6600,23,"0,12","0,64",11900000,Commercial
apartamentos a venda,6600,45,"0,26","0,59",53,Commercial
caminhoes a venda,6600,27,"0,04","0,39",89,Commercial
carro a venda,6600,70,"0,09","0,5",85,Commercial
carros antigos a venda,6600,27,"0,04","0,42",14600000,Commercial
compra e venda,6600,42,"0,16","0,09",699000000,"Informational, Transactional"
compras e vendas,6600,34,"0,16","0,09",132000000,Transactional
contrato de compra e venda de veiculo,6600,13,"0,06","0,37",2390000,"Informational, Transactional"
curso de vendas,6600,33,"0,54","0,7",62800000,Commercial
f1000 a venda,6600,21,"0,05","0,06",64,Commercial
onibus a venda,6600,19,"0,02","0,22",16300000,"Informational, Transactional"
perfume masculino mais vendido,6600,21,"0,14",1,7710000,Commercial
site de venda de esteróides confiável 2022,6600,9,"0,06","0,48",76,Transactional
ta vendo aquela lua,6600,43,"0,02",0,80,"Informational, Transactional"
caixa imoveis a venda,5400,39,"0,34","0,03",70,"Navigational, Commercial"
caminhão a venda,5400,33,"0,04","0,39",75,Commercial
caminhões a venda,5400,33,"0,04","0,39",27600000,Commercial
casa para vender,5400,41,"0,11","0,44",1150000000,Commercial
casas à venda,5400,45,"0,09","0,37",73,Transactional
chacaras a venda,5400,28,"0,04","0,48",6810000,Commercial
contrato de compra e venda de terreno,5400,9,"0,05","0,32",34000000,Transactional
dolar turismo hoje venda,5400,59,"0,15","0,07",13900000,"Informational, Transactional"
hotmilhas vender,5400,33,"0,42","0,27",91,"Navigational, Transactional"
imoveis a venda,5400,71,"0,13","0,49",43000000,Commercial
marketplace compra e venda,5400,50,"0,16","0,25",82800000,Transactional
modelo de contrato de compra e venda,5400,12,"0,04","0,36",306000000,Transactional
moto a venda,5400,36,"0,05","0,44",82,Commercial
opala a venda,5400,21,"0,01","0,18",65,Commercial
perfumes importados femininos mais vendidos,5400,29,"0,13",1,284000,"Informational, Commercial"
perfumes masculinos mais vendidos,5400,19,"0,14",1,4000000,"Informational, Commercial"
vagas em vendas ou no varejo,5400,21,"0,03","0,07",54,"Informational, Commercial"
veleiros a venda,5400,12,"0,04","0,28",94,Commercial
apartamentos a venda em curitiba,4400,21,"0,12","0,64",86,Commercial
buggy a venda,4400,25,"0,02","0,33",73,Commercial
caminhao a venda,4400,32,"0,04","0,39",68,Commercial
cavalos a venda,4400,32,"0,01","0,24",94,"Informational, Transactional"
honda pos venda,4400,17,"0,19",0,95,Commercial
lanchas a venda,4400,11,"0,05","0,73",1700000,"Informational, Transactional"
micro onibus a venda,4400,18,"0,02","0,29",77,"Informational, Transactional"
motor home a venda,4400,21,"0,02","0,19",29400000,Commercial
motos a venda,4400,38,"0,05","0,44",74,Commercial
perfumes femininos importados mais vendidos,4400,34,"0,12",1,526000,"Informational, Commercial"
placa de vende se,4400,27,"0,11",1,77100000,"Informational, Transactional"
placas de vende se,4400,24,"0,12",1,22900000,"Informational, Transactional"
sitio a venda,4400,24,"0,04","0,44",66200000,Commercial
venda de carro,4400,80,"0,33","0,46",205000000,Commercial
venda de carros usados,4400,75,"0,26","0,5",66000000,Commercial
vendas de motocicletas,4400,39,"0,09","0,32",22300000,Commercial
vendei,4400,28,"7,91","0,05",921000,Commercial
vender celular usado,4400,17,"0,08","0,52",31500000,"Informational, Commercial"
caminhoes a venda rs,3600,18,"0,04","0,15",97,Commercial
casa à venda,3600,48,"0,09","0,34",727000000,Transactional
casas a venda em curitiba,3600,30,"0,06","0,6",18300000,Commercial
casas para vender,3600,43,"0,11","0,44",89,Commercial
casasa venda,3600,41,"0,08","0,49",83,Transactional
chacara a venda,3600,27,"0,04","0,48",11700000,Commercial
coisas para vender,3600,40,"0,22","0,3",253000000,"Informational, Commercial"
d20 a venda,3600,28,"0,02","0,16",62,Commercial
fazendas a venda,3600,23,"0,04","0,48",81,Commercial
frases de vendas,3600,28,"0,12","0,04",20000000,Commercial
jeep willys a venda,3600,22,"0,04","0,22",66,Commercial
livros de romance mais vendidos,3600,25,"0,04",1,5490000,Commercial
maxmilhas vender milhas,3600,35,"0,17","0,27",324000,"Navigational, Transactional"
perfume feminino importado mais vendido,3600,30,"0,15",1,1310000,"Informational, Commercial"
pos venda honda,3600,17,0,0,99,Commercial
site de vendas,3600,43,"0,81","0,58",423000000,Commercial
trator a venda,3600,16,"0,05","0,62",63,Transactional
veleiro a venda,3600,13,"0,04","0,35",1410000,Commercial
venda carros,3600,75,"1,07","0,57",151000000,Commercial
venda do chicó,3600,30,0,0,47900000,"Informational, Transactional"
vendas de carros,3600,69,"0,33","0,46",78100000,Commercial
vendas de carros usados,3600,81,"0,26","0,5",18500000,Commercial
academia de vendas vivo,2900,25,"0,48","0,02",3600000,"Informational, Commercial"
ap para venda,2900,50,"0,21","0,56",99,Commercial
apartamento a venda em goiania,2900,18,"0,27","0,62",78,Commercial
apartamento a venda em salvador,2900,22,"0,11","0,59",77,Commercial
barcos a venda,2900,22,"0,04",1,29100000,Commercial
c10 a venda,2900,21,"0,02","0,14",73,Commercial
caminhoes a venda em sc,2900,8,"0,03","0,19",74,Commercial
caminhoes a venda no rs,2900,16,"0,03","0,16",79,Commercial
caminhão munck a venda,2900,15,"0,1","0,35",79,Commercial
carro para vende,2900,79,"0,1","0,41",195000000,Commercial
casa venda,2900,50,"0,08","0,49",90,Commercial
chevette a venda,2900,25,"0,02","0,16",64,Commercial
chácara a venda,2900,28,"0,04","0,48",25400000,Commercial
compra e venda de carros,2900,70,"0,37","0,44",176000000,Transactional
compra-agora/venda assistida,2900,18,"21,38","0,14",435000,"Navigational, Transactional"
contrato de compra e venda simples,2900,16,"0,05","0,13",332000000,"Informational, Transactional"
criar site de vendas,2900,48,"1,31","0,72",108000000,Commercial
cursos de vendas,2900,28,"0,47","0,67",43200000,Commercial
fazenda a venda,2900,26,"0,04","0,48",42900000,Commercial
fiat 147 a venda,2900,22,"0,02","0,08",73,Commercial
fiorino a venda,2900,21,"0,06","0,35",93,Commercial
fontes de vendas,2900,13,"0,36","0,01",24400000,Commercial
fuscas a venda,2900,22,"0,03","0,18",66,Commercial
gol quadrado a venda,2900,26,"0,03","0,17",49,"Informational, Transactional"
helicóptero a venda,2900,7,"0,02","0,34",4430000,Commercial
intenção de venda,2900,26,"0,39",0,16800000,"Navigational, Transactional"
lista de imóveis caixa venda direta,2900,21,"0,15","0,06",76,"Navigational, Transactional"
lojas que vende,2900,43,"0,44","0,04",96300000,"Informational, Commercial"
placa vende se,2900,25,"0,11",1,54300000,"Informational, Transactional"
planilha de vendas,2900,23,"0,54","0,34",5420000,"Informational, Transactional"
retroescavadeira a venda,2900,15,"0,18","0,65",65,"Informational, Transactional"
tecnicas de venda,2900,47,"0,26","0,35",10400000,"Informational, Commercial"
terreno a venda vamo fechar,2900,3,0,0,67,Commercial
tá vendo aquela lua,2900,42,0,0,69,"Informational, Transactional"
vendas mm,2900,19,"0,17",0,30500000,Commercial
ônibus a venda,2900,18,"0,02","0,22",46000000,Transactional
academia de vendas,2400,10,"0,27","0,04",18500000,Commercial
apartamento a venda em santos,2400,25,"0,08","0,64",80,Commercial
apartamento a venda praia grande,2400,20,"0,09","0,64",85,Commercial
apartamento para venda,2400,44,"0,19","0,54",80,Commercial
assistente de vendas,2400,27,"0,07","0,01",89,"Informational, Commercial"
caminhao munck a venda,2400,12,"0,1","0,35",88,Transactional
carro antigo a venda,2400,24,"0,03","0,46",22600000,Commercial
carros a venda olx,2400,40,"0,09","0,22",28,"Navigational, Transactional"
carros para vender,2400,79,"0,11","0,44",109000000,Commercial
carros usados a venda,2400,64,"0,09","0,45",68,Commercial
cedus venda nova,2400,36,"0,14","0,02",70,"Navigational, Transactional"
compre agora venda assistida,2400,17,"21,38","0,14",92,Transactional
contrato de compra e venda word,2400,11,"0,05","0,29",7460000,Transactional
contratos de compra e venda,2400,23,"0,05","0,35",64500000,"Informational, Transactional"
f 250 a venda,2400,21,"0,02","0,25",76,Commercial
f250 a venda,2400,19,"0,03","0,2",73,Commercial
f4000 a venda,2400,21,"0,03","0,2",53,Commercial
imóveis a venda,2400,72,"0,13","0,49",76700000,Commercial
itamaraju vendas,2400,24,0,0,76,Commercial
joao vendeu sua bicicleta a 280,2400,14,0,0,13600,"Informational, Commercial"
mais vendas,2400,7,"1,4","0,05",451000000,Commercial
modelo de contrato de compra e venda de imovel,2400,14,"0,06","0,44",1900000,Transactional
modelo de contrato de compras e vendas,2400,13,"0,04","0,36",27900000,Transactional
modelos de contrato de compra e venda,2400,13,"0,04","0,38",91300000,Transactional
moto para vender,2400,38,"0,05","0,44",75,"Navigational, Commercial"
motorhomes a venda,2400,19,"0,02","0,33",308000,Commercial
piripiri vendas,2400,22,"0,31",0,92,Commercial
placa vende-se,2400,26,"0,13","0,98",48100000,"Informational, Transactional"
produtos mais vendidos na shopee,2400,39,"0,04","0,39",3630000,"Informational, Transactional"
quinto andar venda,2400,46,"0,32","0,43",59,"Navigational, Transactional"
recibo de compra e venda veículo,2400,19,"0,05","0,05",2040000,Transactional
s10 a venda no rs,2400,20,"0,1","0,23",70,Commercial
sesc venda nova hospedagem,2400,29,"0,07","0,1",89,"Informational, Transactional"
site de venda de carros,2400,69,"0,22","0,59",92300000,Commercial
site de vendas online,2400,38,"1,36","0,6",192000000,Commercial
sites de vendas,2400,44,"0,81","0,58",85600000,Commercial
sitios a venda,2400,26,"0,04","0,44",11900000,Commercial
stanza construtor de vendas,2400,20,"0,21","0,09",50,"Informational, Transactional"
towner a venda,2400,37,"0,04","0,13",62,Commercial
tratores a venda,2400,15,"0,05","0,62",69,Commercial
venda assistida compra agora,2400,17,"22,15","0,13",1240000,Transactional
venda assistida unilever,2400,17,"5,42","0,11",71,Commercial
venda carro,2400,73,"1,07","0,57",176000000,Commercial
venda de imoveis,2400,78,"0,23","0,43",34600000,Commercial
venda de motos,2400,33,"0,09","0,32",75800000,Commercial
venda milhas,2400,55,"0,2","0,38",2830000,Transactional
vende se geladinho,2400,21,0,"0,44",78,"Informational, Transactional"
vendo carro,2400,67,"1,07","0,57",99500000,Commercial
vendo meu usado campo mourão,2400,24,"0,11","0,02",52,Commercial
vendo pack,2400,14,"0,05","0,32",96,Commercial
1620 a venda,1900,15,"0,02","0,22",52,Transactional
aircross a venda em bh,1900,19,"0,09","0,42",57,Commercial
apartamento a venda em bh,1900,28,"0,35","0,65",84,Commercial
apartamento a venda são paulo,1900,48,"0,42","0,67",84,Commercial
apartamento venda,1900,45,"0,19","0,57",92,Commercial
apartamentos a venda curitiba pr,1900,20,"0,14","0,64",15600000,Commercial
apartamentos a venda em bh,1900,28,"0,36","0,67",75,Commercial
apartamentos a venda em santos,1900,26,"0,12","0,66",81,Commercial
armação de oculos de grau masculino mais vendidos,1900,14,"0,08",1,74,Commercial
auxiliar de vendas,1900,21,"0,09","0,01",79,"Informational, Commercial"
caminhao guincho a venda,1900,15,"0,04","0,39",77,Transactional
caminhoes a venda em mg,1900,15,"0,04","0,12",71,Commercial
caminhão 3 4 a venda,1900,25,"0,06","0,43",81,Commercial
caminhão a venda em sc,1900,17,"0,03","0,19",91,Commercial
caminhão a venda rs,1900,21,"0,04","0,15",6800000,Commercial
caminhões à venda,1900,26,"0,05","0,39",30200000,Transactional
carros a venda em curitiba,1900,36,"0,08","0,53",95,Commercial
carros baratos a venda,1900,48,"0,14","0,53",66,Commercial
carros venda,1900,75,"0,11","0,47",151000000,Commercial
carros à venda,1900,74,"0,09","0,41",91,Transactional
casa para venda,1900,43,"0,11","0,44",503000000,Commercial
casa pra vende,1900,37,"0,09","0,47",659000000,Commercial
casas a venda em atibaia,1900,9,"0,09","0,63",3140000,Commercial
casas a venda em bh,1900,21,"0,1","0,61",18600000,Commercial
casas a venda em indaiatuba,1900,20,"0,08","0,62",4130000,Commercial
casas a venda em sorocaba,1900,18,"0,06","0,61",9840000,Commercial
casas a venda são paulo,1900,36,"0,12","0,59",61,Commercial
cavalo a venda,1900,14,"0,01","0,24",93,Transactional
celular a venda,1900,38,"0,1",1,99,Commercial
celular para vender,1900,27,"0,07",1,172000000,"Informational, Transactional"
comunicado de venda detran,1900,26,"0,05","0,01",1050000,"Navigational, Transactional"
comunicação de venda detran mg,1900,25,"0,15","0,01",73,"Navigational, Transactional"
comunicação de venda detran rj,1900,25,"0,12","0,01",84,"Navigational, Transactional"
consultoria de vendas,1900,18,"0,71","0,21",35900000,"Informational, Commercial"
contrato compra e venda,1900,20,"0,06","0,31",333000000,"Informational, Transactional"
crm vendas,1900,38,"2,17","0,63",15900000,Commercial
curso de vendas online,1900,24,"0,47","0,68",34800000,Commercial
documento de compra e venda,1900,32,"0,05","0,27",289000000,"Informational, Transactional"
documento de compra e venda de veiculo,1900,15,"0,07","0,11",9510000,Transactional
enlargon vende em farmácia,1900,25,0,"0,39",45,"Informational, Transactional"
f 1000 a venda,1900,21,"0,02","0,19",77,Commercial
fazendas a venda em goias,1900,11,"0,02","0,35",83,Commercial
fazendinha a venda,1900,20,"0,04","0,48",2860000,Commercial
força de vendas natura,1900,24,"0,24","0,01",900000,"Informational, Transactional"
frases de impacto para vendas,1900,35,"0,09","0,11",2430000,"Informational, Commercial"
frases motivacionais vendas,1900,21,"0,08","0,02",1980000,"Informational, Commercial"
fusca a venda ate 3 mil reais,1900,20,"0,04","0,18",47,"Informational, Transactional"
fusca a venda até 3 mil reais,1900,20,"0,04","0,18",54,"Informational, Transactional"
fusca a venda rs,1900,20,"0,02","0,1",74,Commercial
helicoptero a venda,1900,5,"0,02","0,34",689000,Commercial
hotel em venda nova do imigrante,1900,18,"0,08","0,1",339000,Commercial
imóveis caixa venda direta online,1900,44,"0,2","0,11",75,Transactional
imóvel a venda,1900,63,"0,13","0,49",61000000,Commercial
karmann ghia a venda,1900,20,"0,02","0,05",76,"Informational, Transactional"
kombihome a venda,1900,32,"0,03","0,2",59,"Informational, Transactional"
maverick a venda,1900,26,"0,07","0,08",2410000,Commercial
maxmilhas vender,1900,35,"0,17","0,28",78200,"Navigational, Transactional"
microonibus a venda,1900,21,"0,02","0,29",87,"Informational, Transactional"
modelos de contratos de compra e venda,1900,13,"0,04","0,36",16600000,Transactional
motocicleta para vender,1900,30,"0,05","0,44",41000000,Commercial
motorhome venda,1900,21,"0,02","0,27",87,Commercial
munck a venda,1900,14,"0,18","0,36",67,Commercial
pa carregadeira a venda,1900,15,"0,09","0,76",80,Commercial
placa de venda,1900,32,"0,18",1,56700000,"Informational, Transactional"
placas de vende-se,1900,19,"0,11",1,18500000,"Informational, Transactional"
placas vende se,1900,10,"0,13","0,98",23900000,"Informational, Transactional"
plataforma de venda online,1900,36,"1,56","0,63",43700000,Commercial
plataforma de vendas online,1900,36,"1,56","0,63",26600000,Commercial
plataformas de vendas online,1900,36,"1,56","0,63",11800000,Commercial
pré venda mortal kombat 1,1900,33,"0,13","0,17",188000,Commercial
recibo de compra e venda de terreno,1900,8,"0,03","0,09",9810000,"Informational, Transactional"
retro escavadeira a venda,1900,11,"0,18","0,65",72,"Informational, Transactional"
s10 a venda,1900,27,"0,11","0,34",79,Commercial
saveiro a venda,1900,24,"0,04","0,3",77,Commercial
saveiro a venda no rs,1900,21,"0,03","0,18",62,Commercial
saveiro quadrada a venda,1900,29,"0,03","0,13",54,Commercial
trailer de lanche a venda,1900,30,"0,03","0,37",72,Commercial
trator a venda no rs,1900,17,"0,04","0,23",74,Commercial
tratores a venda no rs,1900,19,"0,04","0,23",77,Commercial
troller a venda,1900,21,"0,02","0,27",95,Commercial
tá vendo,1900,33,0,0,81,"Informational, Transactional"
venda de seguidores,1900,22,"0,16","0,5",20400000,Commercial
venda de veiculos,1900,73,"0,37","0,4",27400000,Commercial
vendas de imoveis,1900,80,"0,23","0,43",21000000,"Navigational, Commercial"
vendas guanambi,1900,24,"0,12",0,227000,Commercial
vender ouro,1900,11,"0,22","0,25",34500000,Commercial
vendo apartamento em santos urgente,1900,13,"0,11","0,62",52,Commercial
vendo celular,1900,33,"0,1","0,94",74,Transactional
veraneio a venda,1900,20,"0,02","0,14",71,Commercial
ap a venda em salvador,1600,20,"0,11","0,59",77,Commercial
ap a venda em santos,1600,24,"0,08","0,64",13800000,Commercial
apartamento à venda,1600,47,"0,22","0,41",99,Transactional
apartamentos a venda em salvador,1600,22,"0,11","0,59",66,Commercial
apartamentos á venda,1600,44,"0,26","0,59",6830000,Commercial
apto a venda,1600,48,"0,26","0,59",65,Commercial
apto à venda,1600,50,"0,22","0,41",78,Transactional
aviao a venda,1600,23,"0,04","0,48",5280000,"Navigational, Transactional"
bobcat a venda,1600,16,"0,1","0,48",54,Commercial
bom dia motivacional vendas,1600,23,"0,21",0,62,"Informational, Commercial"
brinquedos mais vendidos para 5 anos,1600,26,"0,05",1,13800000,Commercial
cachorro a venda,1600,13,"0,07","0,38",83,Commercial
caminhao a venda em sc,1600,7,"0,03","0,19",50,Commercial
caminhao a venda rs,1600,15,"0,04","0,15",88,Commercial
caminhao boiadeiro a venda,1600,13,"0,04","0,28",69,"Informational, Transactional"
caminhoes munck a venda,1600,11,"0,1","0,35",64,Transactional
caminhão truck a venda,1600,15,"0,04","0,4",67,Commercial
caminhões a venda no rs,1600,17,"0,03","0,16",100,Commercial
carro vendido,1600,29,"0,32","0,32",57900000,Commercial
casa a venda em curitiba,1600,29,"0,06","0,6",43200000,Commercial
casa a venda são paulo,1600,34,"0,12","0,59",808000000,Commercial
casa pra vender,1600,28,"0,07","0,45",675000000,Commercial
casas a venda curitiba,1600,30,"0,06","0,61",18800000,Commercial
casas a venda em caraguatatuba,1600,15,"0,07","0,62",1020000,Commercial
casas a venda em fortaleza,1600,22,"0,07","0,53",15600000,Commercial
casas a venda em jundiai,1600,19,"0,1","0,66",3830000,Commercial
casas a venda em portugal,1600,28,"0,12","0,61",62,Commercial
casas a venda em salvador,1600,19,"0,07","0,56",86,Commercial
casas a venda em ubatuba,1600,19,"0,06","0,6",99,Commercial
